"level","parent","Topic / Item","Count","Average","Min val","Max val","Rate (ms)","Percent","Burst rate","Burst start",
1,"/Source IPv4 Addresses","130.211.47.17",52,,,,0.0000,0.09%,0.1100,274.114
1,"/Source IPv4 Addresses","137.118.46.116",12,,,,0.0000,0.02%,0.0500,2758.161
1,"/Source IPv4 Addresses","139.162.22.113",21,,,,0.0000,0.04%,0.0800,270.816
1,"/Source IPv4 Addresses","147.75.70.44",38,,,,0.0000,0.07%,0.0800,1439.963
1,"/Source IPv4 Addresses","150.136.16.123",15,,,,0.0000,0.03%,0.0500,208.360
1,"/Source IPv4 Addresses","151.101.1.44",28,,,,0.0000,0.05%,0.0500,214.260
1,"/Source IPv4 Addresses","151.101.130.133",24,,,,0.0000,0.04%,0.1200,206.767
1,"/Source IPv4 Addresses","151.101.130.49",4,,,,0.0000,0.01%,0.0400,270.370
1,"/Source IPv4 Addresses","151.101.194.133",21,,,,0.0000,0.04%,0.0600,29.006
1,"/Source IPv4 Addresses","151.101.2.110",16,,,,0.0000,0.03%,0.1000,212.092
1,"/Source IPv4 Addresses","151.101.2.133",100,,,,0.0000,0.17%,0.4300,204.861
1,"/Source IPv4 Addresses","151.101.2.2",33,,,,0.0000,0.06%,0.0800,204.533
1,"/Source IPv4 Addresses","151.101.2.49",53,,,,0.0000,0.09%,0.0900,270.149
1,"/Source IPv4 Addresses","151.139.128.11",18,,,,0.0000,0.03%,0.0900,203.910
1,"/Source IPv4 Addresses","151.139.241.28",63,,,,0.0000,0.11%,0.1800,1431.220
1,"/Source IPv4 Addresses","152.195.14.41",19,,,,0.0000,0.03%,0.0800,1427.631
1,"/Source IPv4 Addresses","156.154.200.36",13,,,,0.0000,0.02%,0.0600,1437.898
1,"/Source IPv4 Addresses","158.69.28.93",58,,,,0.0000,0.10%,0.3200,119.706
1,"/Source IPv4 Addresses","162.247.242.18",25,,,,0.0000,0.04%,0.0600,212.509
1,"/Source IPv4 Addresses","165.254.148.121",30,,,,0.0000,0.05%,0.0900,213.261
1,"/Source IPv4 Addresses","169.60.66.35",16,,,,0.0000,0.03%,0.0800,209.140
1,"/Source IPv4 Addresses","172.217.12.227",161,,,,0.0001,0.28%,0.4700,1683.758
1,"/Source IPv4 Addresses","172.217.12.228",51,,,,0.0000,0.09%,0.1000,26.916
1,"/Source IPv4 Addresses","172.217.12.234",2,,,,0.0000,0.00%,0.0200,1466.452
1,"/Source IPv4 Addresses","172.217.12.238",38,,,,0.0000,0.07%,0.0900,1376.157
1,"/Source IPv4 Addresses","172.217.13.78",43,,,,0.0000,0.07%,0.1200,1426.778
1,"/Source IPv4 Addresses","172.217.15.110",27,,,,0.0000,0.05%,0.1300,1425.902
1,"/Source IPv4 Addresses","172.217.15.66",1013,,,,0.0004,1.76%,0.8000,30.183
1,"/Source IPv4 Addresses","172.217.15.68",328,,,,0.0001,0.57%,1.1600,1425.195
1,"/Source IPv4 Addresses","172.217.15.77",8,,,,0.0000,0.01%,0.0500,1375.621
1,"/Source IPv4 Addresses","172.217.15.98",23,,,,0.0000,0.04%,0.0600,1429.427
1,"/Source IPv4 Addresses","172.217.15.99",87,,,,0.0000,0.15%,0.1200,1434.534
1,"/Source IPv4 Addresses","172.217.164.131",20,,,,0.0000,0.03%,0.0900,1377.747
1,"/Source IPv4 Addresses","172.217.164.142",71,,,,0.0000,0.12%,0.2200,1425.875
